streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
80A Aberdeen St,11207,1620,899000,2076980590,83,100,14088,17544,6677,97.69,45616,
8321 263rd St,11004,1648,899000,32104008,86,59,439,615,253,16.426,100174,
5850 Maspeth Ave,11378,1660,899000,2143429422,82,63,2285,3230,1115,39.994,85464,
977 Troy Ave,11203,1672,899000,30660280,63,80,7415,10214,4475,79.499,61414,
431 99th St,11209,1680,899000,30702185,91,87,3390,7359,1871,72.938,84145,
4516 161st St,11358,1692,899000,32047853,89,75,1681,1787,725,38.103,74854,
1576 E 29th St,11229,1696,899000,30755903,87,84,4141,6429,1693,85.538,69076,
45 Crosby Ave,11207,1732,899000,30636453,67,98,14088,17544,6677,97.69,45616,
72 Corbin Pl,11235,1752,899000,30790237,95,80,4749,7226,1987,84.859,58669,
1821 E 32nd St,11234,1759,899000,30783735,82,80,5551,8786,2903,94.254,86185,
2835 Roberts Ave,10461,1764,899000,29815491,83,91,4357,7747,2624,52.756,61087,
206-03 Lori Dr #65L,11360,1800,899000,2078456541,49,55,614,638,332,20.076,92851,
2331 W 1st St,11223,1820,899000,30738738,92,95,4282,7031,1942,83.565,57281,
122-09 Metropolitan Ave,11415,1838,899000,32117124,90,100,657,1184,433,20.351,80360,
1478 Royce St,11234,1887,899000,83047287,59,75,5551,8786,2903,94.254,86185,
2512 E 63rd St,11234,1920,899000,30788994,65,68,5551,8786,2903,94.254,86185,
6738 6th Ave,11220,1921,899000,30691818,86,98,7084,10130,2413,93.584,57046,
1414 E 51st St,11234,1946,899000,30760974,90,80,5551,8786,2903,94.254,86185,
812-814 E 214th St,10467,1950,899000,2075697529,86,92,10256,17424,5562,102.209,42639,
6923 Olcott St,11375,1966,899000,32003528,91,81,2691,6747,1430,76.091,96321,
19418 Hollis Ave,11412,1994,899000,32154885,73,77,2727,3683,1414,41.782,93429,
640 E 228th St,10466,2000,899000,29831796,89,91,6496,11266,4287,75.767,62918,
509 Georgia Ave,11207,2000,899000,30635525,80,100,14088,17544,6677,97.69,45616,
418 Newport St,11207,2000,899000,30636192,79,100,14088,17544,6677,97.69,45616,
680 Harris Ave,10314,2000,899000,32291557,45,56,3723,8850,3294,93.736,94578,
1044 Hollywood Ave,10465,2014,899000,29844603,81,63,3015,6081,2197,46.205,80245,
2354 E 73rd St,11234,2025,899000,30783122,46,64,5551,8786,2903,94.254,86185,
6138 Tyndall Ave,10471,2056,899000,29853866,81,69,1350,1799,564,23.387,96368,
85-23 67 Dr,11374,2063,899000,32001076,79,78,1560,3710,919,47.019,79221,
1772 E 28th St,11229,2100,899000,30727864,86,86,4141,6429,1693,85.538,69076,
1426 E 87th St,11236,2160,899000,30772313,45,65,7148,11138,4558,102.238,73562,
16 Raleigh Pl,11226,2160,899000,30658729,95,94,9695,14147,4933,99.776,66173,
30 Kensington Ave,10305,2162,899000,32325054,84,73,1958,4006,1846,44.531,76833,
7016 30th Ave,11370,2198,899000,31953279,79,87,2563,3564,834,29.78,67241,
724 Taylor Ave,10473,2200,899000,29792751,85,62,5887,10085,3749,60.296,48212,
1165 E 223rd St #3,10466,2200,899000,2088280741,79,78,6496,11266,4287,75.767,62918,
17230 93rd Ave,11433,2205,899000,32139988,92,100,4530,7379,1942,41.396,68801,
35 Howe St,10310,2220,899000,299999292,56,58,1794,3431,1457,25.976,96161,
745 Quincy Ave,10465,2240,899000,29848329,84,60,3015,6081,2197,46.205,80245,
33-51 60th,11377,2250,899000,2078569885,82,100,4741,7506,2685,85.255,66325,
253-30 Craft Ave,11422,2256,899000,32212120,30,49,1828,2479,1309,34.063,95945,
80 Tyrrell St,10307,2279,899000,316676342,70,62,678,1537,469,14.828,117469,
860 E 55th St,11234,2280,899000,30767378,80,77,5551,8786,2903,94.254,86185,
2483 Coyle St,11235,2280,899000,30748453,86,64,4749,7226,1987,84.859,58669,
37 E 32nd St,11226,2280,899000,30659417,91,94,9695,14147,4933,99.776,66173,
1339 E 38th St,11234,2334,899000,30761693,92,81,5551,8786,2903,94.254,86185,
412 E 136th St,10454,2356,899000,29776749,92,100,6349,10685,3263,38.908,21846,
143 Prentiss Ave,10465,2380,899000,29847136,55,48,3015,6081,2197,46.205,80245,
3415 Avenue D,11203,2400,899000,30661432,70,96,7415,10214,4475,79.499,61414,
1692 Saint Marks Ave,11233,2400,899000,30598595,93,100,9165,13371,5500,85.633,52380,
198 Freeborn St,10306,2400,899000,32333031,65,59,2306,5154,2279,55.805,88687,
35 Chelsea St,10307,2400,899000,32376181,74,60,678,1537,469,14.828,117469,
7843 84th St,11385,2408,899000,32018826,76,66,6596,11146,3311,109.111,77350,
751 E 84th St,11236,2420,899000,30768671,74,81,7148,11138,4558,102.238,73562,
2215 E 69th St,11234,2439,899000,2078981009,69,69,5551,8786,2903,94.254,86185,
672 S Gannon Ave,10314,2464,899000,32291993,62,56,3723,8850,3294,93.736,94578,
624 Drumgoole Rd E,10312,2500,899000,32364438,63,58,1450,2839,1254,63.935,100875,
4625 Beach 46th St,11224,2516,899000,30733958,29,43,5359,8812,2819,48.11,37241,
88-01 Doran Ave,11385,2525,899000,2077336538,84,66,6596,11146,3311,109.111,77350,
1691 Monroe Ave,10457,2540,899000,29781624,86,100,10195,17954,5893,79.443,38066,
40 Kelly Blvd,10314,2544,899000,32311976,35,56,3723,8850,3294,93.736,94578,
89-91 David St,10308,2616,899000,32348187,82,62,766,1409,819,30.353,116082,
89 David St,10308,2616,899000,2077510158,82,62,766,1409,819,30.353,116082,
973 Bard Ave,10301,2673,899000,2126891469,65,59,3648,7624,2999,38.736,78053,
2404 Avenue D,11226,2700,899000,59996971,89,100,9695,14147,4933,99.776,66173,
85-38 123rd St,11415,2700,899000,2077120577,89,100,657,1184,433,20.351,80360,
27 Howe St,10310,2700,899000,299997202,56,58,1794,3431,1457,25.976,96161,
2925 Colden Ave,10469,2958,899000,62635732,84,87,4703,8301,2858,75.29,70415,
216 E 89th St,11236,2980,899000,30766266,82,80,7148,11138,4558,102.238,73562,
1531 Popham Ave,10453,3000,899000,29782301,79,100,6907,12377,4814,80.393,34860,
1739 Kimball St,11234,3000,899000,30765083,89,82,5551,8786,2903,94.254,86185,
2455 Coyle St,11235,3040,899000,30748465,86,64,4749,7226,1987,84.859,58669,
1159 Saint Lawrence Ave #B,10472,3100,899000,83179088,94,91,7129,10131,3764,66.72,36730,
718 E 221st St,10467,3200,899000,29826921,89,92,10256,17424,5562,102.209,42639,
2531B Grand Ave,10468,3206,899000,2076515549,92,100,7728,12132,3284,82.48,40138,
2234 Haviland Ave,10462,3257,899000,29797177,95,88,5578,9030,3028,78.47,59032,
1368 Flatbush Ave,11210,3300,899000,30669526,88,100,4498,7125,2208,65.854,77378,
2020 Lafontaine Ave,10457,3477,899000,83178701,89,97,10195,17954,5893,79.443,38066,
1760 Seward Ave,10473,3520,899000,29792331,81,62,5887,10085,3749,60.296,48212,
2901 Cruger Ave,10467,3592,899000,29823892,87,93,10256,17424,5562,102.209,42639,
1233 Wheeler Ave,10472,3600,899000,29795749,89,99,7129,10131,3764,66.72,36730,
220 Westervelt Ave,10301,3900,899000,32271451,58,75,3648,7624,2999,38.736,78053,
69-50 182nd St,11365,4000,899000,2080339427,56,70,2369,3684,1032,45.439,73279,
725 E 216th St #3FAM,10467,4603,899000,2077846852,89,95,10256,17424,5562,102.209,42639,
326 Covert St,11237,4680,899000,2092276545,91,97,5465,7130,2103,50.59,65908,
36 Guyon Ave,10306,2376,899026,316675742,79,65,2306,5154,2279,55.805,88687,
2903 Frederick Douglass Blvd,10039,1122,899190,143180403,90,100,2398,4396,1769,27.234,50164,
127 Craig Ave,10307,3040,899374,32377063,80,61,678,1537,469,14.828,117469,
27 Wetmore Rd,10301,2948,899499,32287345,66,65,3648,7624,2999,38.736,78053,
26 Ludlow St APT 4A,10002,622,899500,31495584,100,100,8991,17251,4203,76.807,37093,
10534 78th St,11417,2856,899500,32113968,85,79,2838,4172,1236,33.236,78498,
2239 Bathgate Ave,10457,3168,899500,29784393,92,100,10195,17954,5893,79.443,38066,
70-17 68th Pl,11385,2172,899755,2080686356,73,71,6596,11146,3311,109.111,77350,
29 Croton Ave,10301,2160,899900,32278189,50,57,3648,7624,2999,38.736,78053,
402 Page Ave,10307,2493,899900,299996814,80,58,678,1537,469,14.828,117469,
363 Atlantic Ave,10305,2848,899900,79734192,80,69,1958,4006,1846,44.531,76833,
406 Page Ave,10307,3000,916323,2083901025,75,57,678,1537,469,14.828,117469,
390 Page Ave,10307,3120,899900,112112725,76,58,678,1537,469,14.828,117469,
3743 Neptune Ave,11224,2324,899990,30732799,56,47,5359,8812,2819,48.11,37241,
63210 Alderton St,11374,1296,899999,32000434,70,100,1560,3710,919,47.019,79221,
1912 61st St,11204,1440,899999,30680706,92,94,2557,4869,1592,82.14,58850,
531 Beach 129th St,11694,2048,899999,32226047,76,62,1033,1978,780,22.432,88643,
131 Saint Marks Pl,10301,2118,899999,32270495,79,74,3648,7624,2999,38.736,78053,
11 Fairview Pl,11226,2122,899999,30658716,95,94,9695,14147,4933,99.776,66173,
806 Lamont Ave,10309,2520,899999,32369522,49,55,1115,2261,881,35.832,107500,
97 Mcveigh Ave,10314,2960,899999,32311982,42,56,3723,8850,3294,93.736,94578,
402 Page,10307,3120,899999,2086518603,76,58,678,1537,469,14.828,117469,
1350 Teller Ave,10456,3360,899999,83179250,85,98,10380,17110,6731,90.314,31166,
483 Jefferson Blvd,10312,3720,899999,32364605,48,48,1450,2839,1254,63.935,100875,
1321 Chisholm St,10459,200,900000,29783461,82,100,6887,11912,4046,51.303,36631,
7527 196th Pl,11366,228,900000,32080038,66,67,609,847,288,13.922,100781,
181 Bay 52nd St,11214,600,900000,112501207,84,94,4219,8120,2493,95.361,58487,
9940 64th Rd,11374,700,900000,31977592,83,100,1560,3710,919,47.019,79221,
5063 Horatio Pkwy,11364,700,900000,32085853,27,61,1601,1431,645,39.015,90970,
10448 125th St,11419,720,900000,32127752,88,79,3567,5027,2000,50.107,84245,
13807 58th Ave,11355,800,900000,32064041,89,78,4105,4926,1788,80.918,46963,
75 Wolverine St,10306,800,900000,32339182,66,63,2306,5154,2279,55.805,88687,
60 Reno Ave,10306,800,900000,32337157,75,69,2306,5154,2279,55.805,88687,
227 Hillman Ave,10314,859,900000,32304582,78,61,3723,8850,3294,93.736,94578,
124 Prospect Park SW #3,11218,870,900000,30670601,82,95,2803,4330,1390,76.37,81857,
6931 50th Ave,11377,874,900000,31983191,76,100,4741,7506,2685,85.255,66325,
173-03 Fairchild,11358,875,900000,2080870543,58,71,1681,1787,725,38.103,74854,
47 Jerome Rd,10305,880,900000,32327128,87,73,1958,4006,1846,44.531,76833,
39 Carpenter Ave,10314,888,900000,32308743,39,57,3723,8850,3294,93.736,94578,
4622 Burling St,11355,900,900000,32042484,85,76,4105,4926,1788,80.918,46963,
1201 Castleton Ave,10310,900,900000,32276012,73,66,1794,3431,1457,25.976,96161,
208 E 70th St #1AB,10021,900,900000,72542863,99,100,2169,3519,655,42.484,136060,
162-19 78th Ave,11366,950,900000,2078777880,81,74,609,847,288,13.922,100781,
16219 78th Ave,11366,950,900000,32073142,81,74,609,847,288,13.922,100781,
4510 39th Ave,11104,952,900000,31934609,80,100,1130,2005,847,27.575,81142,
168 Bay 44th St,11214,960,900000,30731079,87,93,4219,8120,2493,95.361,58487,
214 W 16th St #5EW,10011,970,900000,2077102027,100,100,7753,11386,2242,51.867,139343,
13930 58th Ave,11355,1000,900000,32064602,86,76,4105,4926,1788,80.918,46963,
11318 14th Ave,11356,1000,900000,32023026,75,55,1554,2920,1028,27.295,73318,
17724 115th Ave,11434,1050,900000,32190734,67,74,7012,11046,3279,66.424,66546,
272 Avenue S,11223,1092,900000,30734736,90,97,4282,7031,1942,83.565,57281,
717 Crawford Ave,11223,1100,900000,30739139,92,88,4282,7031,1942,83.565,57281,
739 E 14th St,10009,1100,900000,31504263,95,100,4795,7998,2237,60,77551,
4732 201st St,11361,1105,900000,32082515,78,69,1739,2122,752,30.006,93734,
1551 52nd St #3,11219,1106,900000,64830794,77,89,3547,5492,1379,93.119,44450,
4010 Little Neck Pkwy,11363,1170,900000,32093718,80,56,264,305,138,7.424,98111,
1727 E 7th St,11223,1172,900000,30721138,94,95,4282,7031,1942,83.565,57281,
874 Bedford Ave APT 1R,11205,1174,900000,64863658,95,91,3926,6519,2173,50.681,68607,
3346 70th St,11372,1188,900000,31956688,91,100,4808,8043,2222,67.252,62910,
48 Poillon Ave,10312,1200,900000,32366874,57,51,1450,2839,1254,63.935,100875,
643 Midwood St,11203,1200,900000,30657140,85,96,7415,10214,4475,79.499,61414,
14917 121st St,11420,1208,900000,32178616,62,73,3699,5303,1883,51.831,89027,
15033 58th Rd,11355,1224,900000,32065586,77,74,4105,4926,1788,80.918,46963,
15061 58th Ave,11355,1224,900000,32065538,74,73,4105,4926,1788,80.918,46963,
48-52 Orchard St #3-D,10002,1230,900000,65322112,100,100,8991,17251,4203,76.807,37093,
4115 Avenue P,11234,1248,900000,30763803,94,81,5551,8786,2903,94.254,86185,
11 Mcdermott Ave,10305,1250,900000,32327483,76,69,1958,4006,1846,44.531,76833,
1736 Starr St,11385,1260,900000,32008147,92,91,6596,11146,3311,109.111,77350,
5223 240th St,11362,1265,900000,32094470,57,55,736,765,303,19.217,100528,
2138 37th St,11105,1280,900000,143370528,94,80,1731,3112,1083,38.311,93200,
6607 Booth St,11374,1280,900000,143433109,90,100,1560,3710,919,47.019,79221,
22624 76th Ave,11364,1280,900000,32090092,62,69,1601,1431,645,39.015,90970,
8 Herbert St,11222,1284,900000,30622303,92,88,3536,4938,1673,39.669,110385,
5936 162nd St,11365,1288,900000,32071215,69,71,2369,3684,1032,45.439,73279,
6807 147th St,11367,1299,900000,32066585,53,71,2147,3536,1346,42.362,71469,
7154 162nd St,11365,1300,900000,32072023,84,72,2369,3684,1032,45.439,73279,
59-36 162nd,11365,1300,900000,2088484353,69,71,2369,3684,1032,45.439,73279,
1656 Madison Pl,11229,1304,900000,30756671,87,82,4141,6429,1693,85.538,69076,
6109 Broadway,11377,1320,900000,31955672,88,100,4741,7506,2685,85.255,66325,
1934 E 9th St,11223,1320,900000,30734937,93,91,4282,7031,1942,83.565,57281,
5032 232nd St,11364,1326,900000,32085872,42,62,1601,1431,645,39.015,90970,
1147 E 28th St,11210,1328,900000,30753256,84,94,4498,7125,2208,65.854,77378,
5611 202nd St,11364,1331,900000,32084545,68,69,1601,1431,645,39.015,90970,
5116 Van Loon St,11373,1344,900000,31966077,98,100,6586,12244,2757,102.104,62072,
6341 Booth St,11374,1344,900000,31998713,97,100,1560,3710,919,47.019,79221,
6144 Booth St,11374,1344,900000,31998648,93,100,1560,3710,919,47.019,79221,
76 Silver Lake Rd,10301,1350,900000,217911435,59,63,3648,7624,2999,38.736,78053,
2505 85th St,11370,1360,900000,31959822,83,71,2563,3564,834,29.78,67241,
88-25 69th Ave,11375,1360,900000,32002809,91,77,2691,6747,1430,76.091,96321,
7104 170th St,11365,1372,900000,32075208,75,71,2369,3684,1032,45.439,73279,
2138 37th St,11105,1376,900000,323052459,94,80,1731,3112,1083,38.311,93200,
1138 Neill Ave,10461,1400,900000,2112389290,91,84,4357,7747,2624,52.756,61087,
132 Ainslie St,11211,1404,900000,320253018,97,100,8129,10701,3129,65.925,89091,
19331 Salerno Ave,11423,1404,900000,32146218,40,82,1969,2658,942,30.983,69386,
1654 E 24th St,11229,1408,900000,30727051,87,90,4141,6429,1693,85.538,69076,
7327 184th St,11366,1418,900000,32078786,60,70,609,847,288,13.922,100781,
2057 Coyle St,11229,1425,900000,30744204,89,74,4141,6429,1693,85.538,69076,
1816 Avenue S,11229,1428,900000,30741935,88,90,4141,6429,1693,85.538,69076,
1117 123rd St,11356,1432,900000,32021948,89,59,1554,2920,1028,27.295,73318,
921 E 31st St,11210,1440,900000,30751760,89,99,4498,7125,2208,65.854,77378,
984 E 31st St,11210,1440,900000,30751729,80,98,4498,7125,2208,65.854,77378,
4223 74th St,11373,1440,900000,31965065,90,100,6586,12244,2757,102.104,62072,
4619 16th Ave,11204,1440,900000,30676799,77,86,2557,4869,1592,82.14,58850,
11038 62nd Dr,11375,1452,900000,31978813,49,78,2691,6747,1430,76.091,96321,
514 Jefferson Blvd,10312,1456,900000,32361103,51,47,1450,2839,1254,63.935,100875,
7341 188th St,11366,1458,900000,323055523,85,69,609,847,288,13.922,100781,
1330 52nd St APT 1,11219,1468,900000,30686354,83,85,3547,5492,1379,93.119,44450,
2164 38th St,11105,1470,900000,31944848,94,80,1731,3112,1083,38.311,93200,
6 Herkimer Ct,11216,1480,900000,30611448,98,100,6820,9320,3235,62.21,84661,
4965 175th Pl,11365,1480,900000,32050966,48,70,2369,3684,1032,45.439,73279,
1467 Rosedale Ave,10460,1482,900000,29798427,75,100,7177,12364,4242,59.979,31504,
9502 72nd Ave,11375,1484,900000,32020305,71,70,2691,6747,1430,76.091,96321,
26614 69th Ave,11004,1500,900000,32098317,47,59,439,615,253,16.426,100174,
1136 Neill Ave,10461,1500,900000,2107343018,91,84,4357,7747,2624,52.756,61087,
5938 161st St,11365,1504,900000,32071174,69,71,2369,3684,1032,45.439,73279,
528 Beach 137th St,11694,1507,900000,32227377,58,48,1033,1978,780,22.432,88643,
4950 166th St,11365,1512,900000,32050339,49,69,2369,3684,1032,45.439,73279,
310 W 261st St,10471,1518,900000,29853697,82,68,1350,1799,564,23.387,96368,
1154 39th St,11218,1520,900000,30683274,91,91,2803,4330,1390,76.37,81857,
17118 67th Ave,11365,1530,900000,32074431,53,72,2369,3684,1032,45.439,73279,
2374 E 4th St,11223,1533,900000,30738906,91,90,4282,7031,1942,83.565,57281,
16005 Horace Harding Expy,11365,1540,900000,32071137,74,71,2369,3684,1032,45.439,73279,
8699 26th Ave,11214,1540,900000,30730661,90,96,4219,8120,2493,95.361,58487,
8047 189th St,11423,1556,900000,32081033,84,69,1969,2658,942,30.983,69386,
4757 188th St,11358,1560,900000,32051328,63,71,1681,1787,725,38.103,74854,
4858 208th St,11364,1560,900000,32082888,64,68,1601,1431,645,39.015,90970,
4302 74th St,11373,1564,900000,31959692,72,100,6586,12244,2757,102.104,62072,
3212 58th St,11377,1568,900000,31954678,84,96,4741,7506,2685,85.255,66325,
18951 45th Ave,11358,1568,900000,32049051,88,71,1681,1787,725,38.103,74854,
2732 Mcintosh St,11369,1581,900000,31968509,82,69,3675,7056,1754,31.55,66132,
132 95th St,11209,1584,900000,30701848,92,84,3390,7359,1871,72.938,84145,
550 45th St,11220,1588,900000,30575638,95,97,7084,10130,2413,93.584,57046,
1518 E 29th St,11229,1590,900000,30755875,87,83,4141,6429,1693,85.538,69076,
2507 E 23rd St,11235,1600,900000,30749316,93,80,4749,7226,1987,84.859,58669,
344 Crown St,11225,1600,900000,30594434,91,100,4579,7680,2697,59.465,68542,
6404 35th Ave,11377,1600,900000,31955911,91,100,4741,7506,2685,85.255,66325,
3219 102nd St,11369,1600,900000,31969210,80,76,3675,7056,1754,31.55,66132,
2165 W 10th St,11223,1600,900000,30736635,93,99,4282,7031,1942,83.565,57281,
7312 179th St,11366,1600,900000,32078637,72,70,609,847,288,13.922,100781,
415 City Island Ave,10464,1600,900000,29850662,80,37,280,482,214,4.417,118972,
866 Bay Ridge Ave,11220,1610,900000,30692681,92,93,7084,10130,2413,93.584,57046,
8786 202nd St,11423,1623,900000,32146582,79,76,1969,2658,942,30.983,69386,
14024 58th Rd,11355,1632,900000,32064639,88,76,4105,4926,1788,80.918,46963,
10320 217th Ln,11429,1642,900000,32161052,87,82,1969,2696,1108,28.643,89318,
18509 Jamaica Ave,11423,1660,900000,300291699,85,100,1969,2658,942,30.983,69386,
2335 E 2nd St,11223,1664,900000,30738888,91,92,4282,7031,1942,83.565,57281,
2250 E 71st St,11234,1672,900000,30782803,62,67,5551,8786,2903,94.254,86185,
570 16th St,11218,1680,900000,30670572,77,94,2803,4330,1390,76.37,81857,
187 Tompkins Ave,11206,1680,900000,30607588,90,97,10321,16686,5352,90.903,49013,
15016 60th Ave,11355,1690,900000,32065735,79,71,4105,4926,1788,80.918,46963,
150-16 60th Ave,11355,1690,900000,2077552356,79,71,4105,4926,1788,80.918,46963,
10816 64th Ave,11375,1700,900000,31978503,87,94,2691,6747,1430,76.091,96321,
1040 E 28th St,11210,1708,900000,30752399,78,98,4498,7125,2208,65.854,77378,
3861 Bailey Ave,10463,1710,900000,29787510,89,96,5170,11242,2836,73.256,63048,
3247 93rd St,11369,1720,900000,31962477,93,80,3675,7056,1754,31.55,66132,
3249 93rd St,11369,1720,900000,31962476,95,82,3675,7056,1754,31.55,66132,
5502 92nd St,11373,1720,900000,31972788,90,100,6586,12244,2757,102.104,62072,
2439 E 14th St,11235,1728,900000,30747811,92,84,4749,7226,1987,84.859,58669,
106 Bay 41st St,11214,1728,900000,30730540,89,94,4219,8120,2493,95.361,58487,
430 39th St,11232,1752,900000,30574785,95,100,2966,4762,1110,28.501,77031,
117 Avenue C,11218,1755,900000,30673723,94,96,2803,4330,1390,76.37,81857,
4318 214th Pl,11361,1760,900000,32062857,97,68,1739,2122,752,30.006,93734,
7408 30th Ave,11370,1764,900000,31953569,82,83,2563,3564,834,29.78,67241,
4620 Smart St,11355,1768,900000,300304078,85,76,4105,4926,1788,80.918,46963,
4547 Robinson St,11355,1773,900000,32042212,91,81,4105,4926,1788,80.918,46963,
406 E 4th St,11218,1774,900000,30673792,95,97,2803,4330,1390,76.37,81857,
2538 E 15th St,11235,1794,900000,30748774,97,83,4749,7226,1987,84.859,58669,
1059 40th St,11219,1800,900000,30683208,91,87,3547,5492,1379,93.119,44450,
9130 175th St,11432,1800,900000,32132582,94,100,5991,9091,2272,64.858,66246,
8837 54th Ave,11373,1808,900000,31972231,94,100,6586,12244,2757,102.104,62072,
21904 82nd Ave,11427,1815,900000,32089997,54,74,1074,1654,643,25.89,84000,
2133 76th St,11370,1830,900000,31950119,77,66,2563,3564,834,29.78,67241,
11109 77th Ave,11375,1848,900000,32006455,93,100,2691,6747,1430,76.091,96321,
335 54th St,11220,1856,900000,30577852,83,96,7084,10130,2413,93.584,57046,
1042 Nostrand Ave,11225,1890,900000,30595242,97,100,4579,7680,2697,59.465,68542,
621 Van Nest Ave,10460,1900,900000,29812771,87,94,7177,12364,4242,59.979,31504,
2336 W 1st St,11223,1900,900000,30738652,92,95,4282,7031,1942,83.565,57281,
432 London Rd,10306,1919,900000,32311426,21,41,2306,5154,2279,55.805,88687,
2559 124th St,11354,1920,900000,32025386,67,56,5459,9944,2432,53.375,52273,
119 33rd St,11232,1920,900000,30574470,93,100,2966,4762,1110,28.501,77031,
167 Skillman St,11205,1920,900000,112499651,95,91,3926,6519,2173,50.681,68607,
2576 47th St,11103,1925,900000,31942660,95,92,3267,6332,1419,35.912,82597,
14115 59th Ave,11355,1940,900000,32064648,88,76,4105,4926,1788,80.918,46963,
15924 83rd St,11414,1944,900000,32215128,41,56,1635,1891,765,30.915,86113,
3019 73rd St,11370,1950,900000,31953505,83,84,2563,3564,834,29.78,67241,
8543 167th St,11432,1960,900000,32133272,88,100,5991,9091,2272,64.858,66246,
1847 Richmond Rd,10306,1960,900000,83050836,78,69,2306,5154,2279,55.805,88687,
3036 75th St,11370,1964,900000,31953530,82,83,2563,3564,834,29.78,67241,
13526 121st St,11420,1968,900000,32178275,69,72,3699,5303,1883,51.831,89027,
2039 126th St,11356,1976,900000,32024205,89,61,1554,2920,1028,27.295,73318,
1954 W 13th St,11223,1980,900000,30734081,93,98,4282,7031,1942,83.565,57281,
2523 Cropsey Ave,11214,1980,900000,30731284,87,87,4219,8120,2493,95.361,58487,
7242 67th St,11385,1980,900000,32015343,93,68,6596,11146,3311,109.111,77350,
18934 46th Ave,11358,1980,900000,32049494,80,69,1681,1787,725,38.103,74854,
5632 142nd St,11355,1990,900000,32041552,88,79,4105,4926,1788,80.918,46963,
2 Wade Sq,10457,1999,900000,29784543,92,95,10195,17954,5893,79.443,38066,
160-05 Horace Harding Expressway,11365,2000,900000,2082482346,74,71,2369,3684,1032,45.439,73279,
1628 57th St,11204,2000,900000,30679376,79,92,2557,4869,1592,82.14,58850,
2129 E 15th St,11229,2000,900000,30744492,97,82,4141,6429,1693,85.538,69076,
4732 192nd St,11358,2000,900000,32051423,57,71,1681,1787,725,38.103,74854,
5347 211th St,11364,2000,900000,143524901,67,66,1601,1431,645,39.015,90970,
163-72 Mathias Ave,11433,2000,900000,2081554419,71,79,4530,7379,1942,41.396,68801,
1492 Clove Rd,10301,2002,900000,32287899,72,64,3648,7624,2999,38.736,78053,
8914 Lefferts Blvd,11418,2006,900000,32120267,87,87,2509,4743,1565,38.938,77708,
8515 152nd St,11432,2015,900000,32131353,86,100,5991,9091,2272,64.858,66246,
13417 Liberty Ave,11419,2034,900000,32124708,88,100,3567,5027,2000,50.107,84245,
3021 Arlington Ave,10463,2035,900000,29851717,87,83,5170,11242,2836,73.256,63048,
2027 Coyle St,11229,2040,900000,30744218,89,74,4141,6429,1693,85.538,69076,
2062 E 28th St,11229,2040,900000,30743693,94,82,4141,6429,1693,85.538,69076,
22 Bay 49th St,11214,2040,900000,30731254,85,100,4219,8120,2493,95.361,58487,
284 College Rd,10471,2046,900000,29852693,63,80,1350,1799,564,23.387,96368,
4555 192nd St,11358,2050,900000,32049579,75,68,1681,1787,725,38.103,74854,
255 N Railroad Ave,10304,2066,900000,32324528,83,73,3367,6455,2878,43.849,64539,
1349 43rd St,11219,2080,900000,30683888,90,90,3547,5492,1379,93.119,44450,
1729 66th St,11204,2088,900000,30681939,93,91,2557,4869,1592,82.14,58850,
2763 E 64th St,11234,2096,900000,30787559,48,73,5551,8786,2903,94.254,86185,
45 Morton St,10306,2100,900000,32338450,66,53,2306,5154,2279,55.805,88687,
1444 Royce St,11234,2108,900000,83044046,59,75,5551,8786,2903,94.254,86185,
3342 85th St,11372,2109,900000,31962729,91,82,4808,8043,2222,67.252,62910,
1967 Benedict Ave,10462,2112,900000,29799065,97,93,5578,9030,3028,78.47,59032,
11214 169th St,11433,2112,900000,32188821,79,77,4530,7379,1942,41.396,68801,
231 N Railroad Ave,10304,2117,900000,32324522,83,73,3367,6455,2878,43.849,64539,
1034 Remsen Ave,11236,2120,900000,30767278,82,89,7148,11138,4558,102.238,73562,
1859 E 29th St,11229,2124,900000,30728933,87,84,4141,6429,1693,85.538,69076,
2753 Strickland Ave,11234,2124,900000,30787331,60,76,5551,8786,2903,94.254,86185,
359 Bay Ridge Ave,11220,2140,900000,30692153,94,95,7084,10130,2413,93.584,57046,
19 Potter Ave,10314,2150,900000,32279797,60,62,3723,8850,3294,93.736,94578,
164 Nehring Ave,10314,2152,900000,32313032,58,59,3723,8850,3294,93.736,94578,
5465 Fieldston Rd,10471,2160,900000,29853070,84,68,1350,1799,564,23.387,96368,
811 52nd St,11220,2160,900000,30685871,89,93,7084,10130,2413,93.584,57046,
52 Sawyer Ave,10314,2168,900000,32281288,83,61,3723,8850,3294,93.736,94578,
1112 38th St,11218,2172,900000,30671698,91,91,2803,4330,1390,76.37,81857,
4314 Manhattan Ave,11224,2194,900000,30733686,26,45,5359,8812,2819,48.11,37241,
2539 77th St,11370,2200,900000,31951863,81,77,2563,3564,834,29.78,67241,
7842 85th St,11385,2220,900000,32018862,76,66,6596,11146,3311,109.111,77350,
2783 E 65th St,11234,2226,900000,30787625,38,72,5551,8786,2903,94.254,86185,
1013 Virginia Ave,10472,2236,900000,29794542,81,89,7129,10131,3764,66.72,36730,
1314 42nd St,11219,2240,900000,30683856,90,90,3547,5492,1379,93.119,44450,
8436 Dana Ct,11379,2240,900000,31996245,91,87,1472,2357,803,39.805,88672,
