streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
12303 197th St,11413,1170,386650,32196191,65,67,3201,3906,1795,45.661,104236,
2044 E 1st St,11223,1180,225000,30735892,90,92,4282,7031,1942,83.565,57281,
2048 Mayflower Ave,10461,1184,410000,29816877,29,90,4357,7747,2624,52.756,61087,
2922 Brighton 5th St,11235,1190,300000,30789225,96,89,4749,7226,1987,84.859,58669,
622 E New York Ave,11203,1200,155000,30656869,90,100,7415,10214,4475,79.499,61414,
4345 Matilda Ave,10466,1200,235000,29838048,89,90,6496,11266,4287,75.767,62918,
2525 Kingsland Ave,10469,1200,425000,29822513,62,75,4703,8301,2858,75.29,70415,
10641 160th St,11433,1200,155500,32138082,85,100,4530,7379,1942,41.396,68801,
14518 227th St,11413,1200,565000,32208765,52,63,3201,3906,1795,45.661,104236,
2712 Morgan Ave,10469,1200,530000,29823557,80,81,4703,8301,2858,75.29,70415,
1054 55th St #3,11219,1206,532544,94717335,88,91,3547,5492,1379,93.119,44450,
15023 Hoover Ave,11432,1216,126000,32070482,85,100,5991,9091,2272,64.858,66246,
441 N Gannon Ave,10314,1216,218500,32290355,76,57,3723,8850,3294,93.736,94578,
12906 131st St,11420,1216,299000,32177078,72,62,3699,5303,1883,51.831,89027,
7315 172nd St,11366,1222,275000,32075822,55,72,609,847,288,13.922,100781,
12824 Laurelton Pkwy,11422,1222,175000,32199043,50,56,1828,2479,1309,34.063,95945,
10550 62nd Dr,11375,1224,180000,31978202,90,88,2691,6747,1430,76.091,96321,
7610 169th St,11366,1224,495000,32076323,52,72,609,847,288,13.922,100781,
14752 77th Ave,11367,1224,445000,32069336,68,74,2147,3536,1346,42.362,71469,
4521 Foster Ave,11203,1224,270000,30662898,77,83,7415,10214,4475,79.499,61414,
17667 132nd Ave,11434,1236,180000,32192357,59,73,7012,11046,3279,66.424,66546,
6605 Saunders St,11374,1248,589000,32001535,90,100,1560,3710,919,47.019,79221,
1024 41st St APT 3,11219,1251,524398,89069151,89,76,3547,5492,1379,93.119,44450,
8963 213th St,11427,1260,365000,32149873,57,78,1074,1654,643,25.89,84000,
12136 198th St,11413,1260,146000,32195330,62,67,3201,3906,1795,45.661,104236,
25926 145th Ave,11422,1260,150000,32210997,67,61,1828,2479,1309,34.063,95945,
3748 72nd St,11372,1262,799000,31957832,97,100,4808,8043,2222,67.252,62910,
9029 199th St,11423,1264,465000,32145174,76,81,1969,2658,942,30.983,69386,
13216 Sutter Ave,11420,1264,564000,32177172,73,62,3699,5303,1883,51.831,89027,
1120 Simpson St,10459,1266,312000,29780729,89,100,6887,11912,4046,51.303,36631,
1483 Castleton Ave,10302,1268,190000,32295997,88,67,1462,3205,1151,18.144,73927,
558 Grant Ave,11208,1272,460000,30645129,88,89,12008,15377,5263,107.724,49679,
14920 124th St,11420,1272,913000,32179064,43,65,3699,5303,1883,51.831,89027,
715 Prospect Pl #4B,11216,1273,1085000,112497754,87,100,6820,9320,3235,62.21,84661,
8949 213th St,11427,1278,455000,32149879,60,77,1074,1654,643,25.89,84000,
