Zipcode,MedianIncome,ErrorMargin
13673,48250,9302
13676,54597,6181
13678,23639,12853
13679,71196,20043
13680,56442,23614
13681,44315,2589
13682,85089,18383
13684,58125,10682
13685,73875,13076
13687,46094,14966
13690,43106,3173
13691,68208,11467
13692,128333,93301
13693,57614,35538
13694,66406,19649
13695,106094,58660
13696,50804,26649
13697,46852,9587
13730,62730,5443
13731,65417,23568
13732,81765,12762
13733,53625,4236
13734,70479,8148
13736,63050,11454
13739,53542,15890
13740,65938,13143
13743,54250,24253
13744,66985,20722
13746,53525,5660
13748,59107,16900
13750,55500,21824
13752,55598,12438
13753,61875,4407
13754,47159,9204
13755,63355,20309
13756,74792,38238
13757,68125,17205
13760,58202,2848
13774,58688,29358
13775,69643,20787
13776,84286,17144
13777,77857,56359
13778,60139,4699
13780,70529,13380
13782,60500,24482
13783,43702,9284
13784,66436,3934
13786,43850,2597
13787,59504,12541
13788,65833,20513
13790,49959,4478
13795,49393,13464
13796,48412,3175
13797,57027,10124
13801,59964,13688
13803,63500,5086
13804,60568,15252
13806,96000,71223
13807,71131,18782
13808,50917,8938
13809,50139,13629
13810,81042,22455
13811,69519,7745
13812,67361,14167
13813,95208,79512
13815,54018,6212
13820,59604,3112
13825,54139,15356
13826,86703,44105
13827,63392,3548
13830,53554,6114
13832,47841,22864
13833,53529,8547
13834,49878,29917
13835,61923,9960
13838,44727,11098
13839,57000,10962
13841,50125,7063
13842,64000,18329
13843,64931,18438
13844,58466,8524
13846,28971,16152
13849,51493,6631
13850,70760,9014
13856,45262,4317
13859,90208,70228
13861,49712,10991
13862,51972,4615
13863,58750,23130
13864,49041,10756
13865,58813,14971
13901,45070,4328
13903,53804,4194
13904,52678,6354
13905,46999,4329
14001,67832,6135
14004,75568,6373
14005,84297,15385
14006,56949,6509
14008,61691,20879
14009,56160,4662
14011,70233,7820
14012,60250,14320
14013,62634,11421
14020,54581,4348
14024,61466,5287
14025,93200,17766
14026,61058,38590
14027,53214,39009
14028,62849,23663
14030,76406,11991
14031,81339,18724
14032,134256,18175
14033,73750,9285
14034,70296,11068
14035,90500,32096
14036,79268,12469
14037,62054,21438
14039,35833,10702
14040,70865,9074
14042,49483,12837
14043,65289,4431
14047,66882,9962
14048,39604,5054
14051,108065,13564
14052,96802,11121
14054,66563,13773
14055,45347,30363
14057,80319,7305
14058,72857,12351
14059,70596,12890
14060,50000,42160
14061,103571,85336
14062,59375,7960
14063,64157,7446
14065,64395,7843
14066,58558,10410
14067,63701,15778
14068,105698,15750
14069,73693,19794
14070,51988,4612
14072,97128,10562
14075,69876,4938
14080,64511,15118
14081,41719,11612
14082,62375,33825
14085,99728,8494
14086,88615,3947
14091,72031,26163
14092,64370,9899
14094,65812,2652
14098,58955,7338
14101,56094,15154
14102,112424,16348
14103,54387,4609
14105,73125,14948
14108,61159,6797
14111,68519,7334
14113,66563,47356
14120,70248,3639
14125,60536,11021
14126,74205,71795
14127,94558,4843
14129,62857,17667
14130,60114,10717
14131,84085,14974
14132,79725,15932
14136,62500,8107
14138,50000,10612
14139,73393,8692
14141,59439,10025
14143,79000,14367
14145,85714,20029
14150,62852,3500
14166,85974,12682
14167,67961,11193
14169,51589,8113
14170,85755,28117
14171,67604,5974
14172,56625,12881
14173,85547,25383
14174,77601,12295
14201,31942,4457
14202,50526,16330
14203,42067,16828
14204,24518,3963
14206,41741,3334
14207,32186,4056
14208,41084,6945
14209,43891,4558
14210,41678,9161
14211,30003,3311
14212,31376,2819
14213,43650,3286
14214,52144,5368
14215,37974,3289
14216,62243,4453
14217,61885,6998
14218,45236,4226
14219,66763,8453
14220,62643,4025
14221,89001,3925
14222,69739,11494
14223,72939,4038
14224,71537,3030
14225,56632,2268
14226,75690,3591
14227,61510,3747
14228,63670,5683
14301,31406,4552
14302,"25,000",***
14303,36808,5973
14304,59431,4940
14305,42754,5797
14411,46929,6096
14414,62589,9418
14415,38750,28734
14416,73516,9576
14418,42432,18237
14420,61554,6186
14422,73966,9294
14423,67614,12567
14424,69879,5644
14425,73750,9099
14427,59145,9982
14428,78322,8846
14432,71589,10831
14433,54859,8629
14435,73125,13308
14437,60044,5362
14441,49750,15544
14445,61380,10922
14450,97268,5049
14454,53288,11701
14456,62789,4158
14462,76600,5051
14463,56250,49524
14464,61422,9073
14466,92590,28231
14467,77944,9503
14468,83543,6159
14469,64500,9578
14470,60313,9753
14471,65682,4508
14472,112958,11895
14475,105469,49069
14476,79196,9817
14477,72778,16075
14478,84485,27274
14479,70872,53332
14480,80013,67380
14481,70250,7158
14482,67159,11152
14485,64229,10196
14486,101250,71568
14487,81875,12817
14489,57925,5351
14502,79578,7148
14504,56833,7019
14505,65172,11153
14506,64688,32647
14507,61429,14556
14510,56753,8535
14511,60541,4218
14512,61723,2387
14513,54072,2749
14514,70804,9255
14515,50250,39089
14516,65238,7543
14517,55302,7993
14519,80125,5704
14521,55801,5750
14522,66943,9892
14525,73730,6097
14526,92273,14011
14527,55109,5771
14530,56142,3972
14532,77105,12809
14533,64896,25752
14534,124152,7365
14536,49167,15856
14541,72463,6214
14543,105575,12280
14544,59615,12123
14545,95938,25707
14546,75641,10717
14548,68399,9653
14550,54107,13073
14551,54782,10979
14555,65875,10997
14557,44271,39484
14559,87077,11318
14560,63730,5300
14561,81065,14516
14564,101125,9507
14568,91726,16109
14569,55059,10096
14571,68250,14912
14572,55565,11120
14580,85473,6658
14585,36992,11733
14586,100542,12516
14589,70098,9505
14590,56225,6739
14591,62955,19212
14592,56250,47819
14604,42574,24196
14605,22523,3157
14606,52264,3021
14607,53054,6466
14608,28901,2346
14609,53422,2840
14610,74013,10511
14611,28806,4405
14612,68421,4102
14613,32308,6782
14614,50333,25714
14615,47477,6153
14616,57819,4395
14617,76365,4823
14618,108665,9739
14619,55732,5723
14620,54363,3165
14621,30296,2053
14622,65850,4613
14623,56533,4952
14624,80325,5331
14625,91282,12482
14626,75188,3377
14701,44462,2384
14706,63301,11518
14707,49167,19827
14708,65455,8866
14709,52188,7910
14710,59135,5958
14711,57813,8790
14712,65179,15455
14714,86250,33084
14715,45110,3380
14716,44050,6108
14717,50568,13044
14718,56313,7523
14719,57208,5177
14720,39167,26208
14721,50556,47722
14723,60272,3518
14724,61875,6638
14726,50764,10788
14727,56741,5861
14728,59271,18321
14729,66083,9736
14731,62024,13751
14732,44688,42647
14733,49286,8844
14735,59625,8846
14736,67679,26600
14737,51227,5245
14738,53724,11411
14739,47672,7769
14740,65163,12977
14741,67230,5905
14743,53250,16116
14744,72417,14048
14747,54444,6156
